Company;Position;Requirement;Description;Quota;Available;Address;
Idemia Labs Indonesia;Software Engineer;-  Able to do program in .NET or Java or C or  C++  or  Javascript  or  PHP or HTML/CSS  or Python  -  Preferably having knowledge on (operating systems, networking, AT commands)  -  Basic understanding of database & web knowledge would be good  - Experience in automation tool likes Silk Test, Jenkins, Elastic. is an advantage.  - Have an experience and knowledge with agile Scrum and Kanban development methodologies.  - Ability and willing to learn new languages and technologies  - High interests in monitoring tools like Prometheus, Grafana, and logging solutions such as ELK (Elasticsearch, Logstash, Kibana) or Splunk.  - High interests in containerization and orchestration tools such as Docker.    ;Develop and transforms requirements into software according to design, to maximize business value and customer satisfaction.  Will focus on improve and stabilize R&D CPS (Common personalization System) automation with developing current available automation tool.  The interns also will involve in:  1. Set up Jenkins test automation for our product, especially for new test PC.  2. Improve or standardize our Jenkins pipeline.  3. Supporting dashboard generation and enhancement of problem reporting, process non compliances and audit program  4. To analyze and implement quality checklist related to software quality in automotive industry using particular quality standard (IATF) and framework (ASPICE)  5. Participation in software quality assessment / review    ;9;9;AIA Central Lt.38, Jalan Jendral Sudirman, KAV 48A Jakarta DKI Jakarta 12910 Indonesia ;
Kawan Lama Group;Cloud Computing Dev.;- Memiliki pemahaman terhadap  AWS, GCP, Alibaba Cloud.   - Familiar dgn linux o;Mampu menganalisa dan turut serta aktif dalam proses improvement dari Cloud Security Ruparupa sehingga dapat menjadi lebih secure, reliable dan visible;10;9;Jl. Puri Kencana No 1;
PT. Bank Central Asia, Tbk;Business Analyst;Menguasai Microsoft Excel  Memahami dasar dasar algoritma dan Flowchart  Memiliki kemampuan komunikasi yang baik, aktif dan mau belajar;Mohon mengisi link berikut untuk data lebih lanjut yang dibutuhkan BCA. Tanpa mengisi link ini, aplikasi magang tidak akan diproses BCA. https://bit.ly/internshipBCA2024    - Melakukan assessment proses IT  - Membantu eksplorasi dan menyusun requirement pengembangan aplikasi  - Berkordinasi dengan user terkait kebutuhan dan flow aplikasi  - Menganalisa dan melakukan perapihan data pendukung.;29;8;Wisma Asia/Wisma BCA Foresta/Menara BCA;
PT. Global Digital Niaga (blibli.com);Front End Developer;- Min. GPA > 3.00  - Have knowledge in basic HTML, CSS & Javascript  - Have knowledge in VueJS is a plus  - Good problem-solving and communication skill  - Able to work as a team;As a Frontend Engineer Intern on Product Detail squad, you will get a chance to develop and implement the newest technologies that provide the best online shopping experience in one of the core and highlighted system in Blibli. Together with UI/UX team, ensuring customer to have a delightful experience when surfing through the product page.    Together with the team, you will learn about :  - Turning a mock up design into a real web page  - Developing and maintaining clean code  - Communicating in a workplace  - Single page application  - Deployment;20;8;Sarana Jaya;
PT. Hexaon Business Mitrasindo;Front End Developer;Having knowledge of javascripct frameworks such as react, angular, and vue, strong analytical and problem solving skill, readable, and maintaining code, having technical knowledge git, experience with HTML, Javascripct, CSS, in depth understanding of the web development process (design, development), understanding of server side CSS, understanding of key design principle, experience with javascript libraries such s jquery and bootstrap, having experience build reponsive web; Makingweb development process (design, development) web / apps HRIS employee;8;8;neo soho Residence, Podomoro City Lt 16 Unit 1629, Jl Letjend. S. Parman Kav 28;
PT. IDStar Cipta Teknologi;Technical Consultant;Komunikasi baik/Good Communication  Komputer Aktif or Pasif*/Active or Passive Computer Kemampuan dibidang IT/ IT Competency  Berbahasa Inggris Aktif or Pasif*/Active or Passive English  Kemampuan Interpersonal /Interpersonal Competency;We are seeking a versatile Technical Consultant to assess and maintain our Information Technology systems. In this role, your duties will include improving the efficiency of our hardware and software technologies and developing innovative solutions. You may also be required to provide staff with technical guidance. Technical Requirements needed : ReactJS/React Native, Java, NodeJS, SQL;8;8;Wisma Staco Level 7, Casablanca, South Jakarta., MENTENG DALAM, TEBET, JAKARTA SELATAN, DKI JAKARTA 12870;
PT. Indonesia Global Solusindo;Technical Consultant;Strong basic programming/scripting skills such as JAVA, Phyton, VBScript, Javascript, ReactJS, NodeJS etc.  Required skill : Basic Networking, Operating System (Windows, Linux), Database (MS SQL & Oracle)   Fast learner of New Technology  Good attitude with good personality, integrity, honest, proactive and open mind  Experienced as IT Lab Assistant is a plus point  Able to work independently and as a team.  Good at problem solving.;Responsible and Involve in developing internal ISGS’s System or involve in project related to client/customer. The candidate will be assigned to the respective Line of Business Unit based on test result and assessment. ;10;8;APL Tower 18th Floor Suite 7 - Jl Jend S Parman Jakarta;
PT. Nusantara Compnet Integrator;Web Developer;- Strong knowledge of Java, JavaScript, SQL, REST, JSON, HTML  - Good knowledge of relational database such as PostgreSQL, Oracle, MySQL, MariaDB - Experienced with Spring Boot, JPA, NodeJS, Express, React is an advantage;- Confirming project requirement by reviewing program objective, input data, and output requirements with analyst, superior, and client  - Encoding project requirements by converting workflow information into computer language   - Confirming program operation by conducting tests -  - Maintaining historical records by documenting program development program development and revisions;8;8;AKR Tower 8th floor, Jl. Panjang No 5, Kebon Jeruk, Jakarta Barat;
PT. Nutrifood Indonesia;Application Developer;1. Great Communication Skill and teamwork  2. Strong understanding of interaction design and design process  3. Interestwith front end and back end web development  4. Quick Learner able critically think through problems and implement solution show less;Participate in application development according to business requirements and needs. ;8;8;Jl Rawabali 2 No 3 Kawasan Industri Pulo Gadung Jakarta Timur;
PT. Pharos Indonesia;Programmer;?Computer science/ software computer engineer/ software developer  ?Understand basic programming and latest programming language  ?Responsible to design, write, test, debugging, and maintain the source code of computer programs   ?Design customized particular program with computer language to support the business   ?Knowledgable of more than one program language is a plus ;?Responsible to design, write, test, debugging, and maintain the source code of computer programs  ?Design customized particular program with computer language to support the business;8;8;JL LIMO NO. 40, PERMATA HIJAU;
